1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
14	94
14	131
14	143
14	286
15	16
15	17
16	17
17	18
17	44
17	74
17	154
17	156
17	191
17	272
18	19
19	20
19	44
19	45
19	157
19	210
20	21
20	157
20	212
21	22
21	212
22	23
22	86
22	87
23	24
23	49
23	87
23	158
23	216
24	25
25	215
25	216
26	27
27	28
28	29
29	30
30	31
31	32
32	35
33	34
33	256
34	35
35	36
36	37
37	38
38	39
39	40
40	41
40	93
40	94
40	286
41	42
42	43
43	44
44	157
45	46
45	211
45	212
46	47
46	241
46	242
47	48
48	49
49	50
49	79
49	81
49	83
49	159
49	279
50	51
50	79
50	80
50	113
51	52
52	53
52	115
52	116
52	280
52	282
53	54
53	118
54	55
55	56
55	66
56	57
57	58
58	59
59	60
60	61
61	62
62	63
63	64
64	65
65	68
66	67
67	68
68	69
69	70
70	71
71	72
72	73
74	75
75	76
76	77
76	209
76	213
76	239
76	241
76	267
76	273
76	274
77	78
77	138
77	271
78	79
79	138
79	214
79	271
80	81
81	113
82	89
82	91
83	84
84	85
85	86
86	276
86	277
87	88
87	157
87	240
87	276
88	89
89	90
89	157
89	240
89	268
90	91
91	92
91	244
92	93
92	112
93	112
95	96
96	97
97	98
98	99
99	100
100	101
101	102
102	112
103	104
104	105
105	106
106	107
106	109
106	245
106	287
107	108
108	109
109	110
109	137
109	139
110	111
110	112
111	112
113	114
113	289
114	115
116	117
117	118
118	119
118	163
118	281
118	283
119	120
120	121
121	122
122	123
122	285
123	124
124	125
125	126
126	127
127	128
128	129
129	130
131	132
132	133
133	134
134	275
135	160
135	161
136	137
136	275
139	288
140	141
140	288
141	142
142	143
144	145
145	146
146	147
147	148
148	149
148	154
148	164
149	150
150	151
151	152
152	153
153	154
154	155
155	156
157	243
158	159
159	160
159	215
161	162
162	163
164	165
165	166
166	167
166	175
167	168
168	169
168	262
169	170
170	171
171	172
172	173
173	174
175	176
176	177
177	178
178	179
179	180
179	182
180	181
182	183
183	184
184	186
185	255
187	188
188	189
189	190
190	192
191	273
192	193
193	194
194	195
195	196
196	197
197	207
198	199
199	200
200	201
201	202
202	203
203	204
204	205
205	206
206	207
207	208
208	209
209	210
210	211
212	242
213	214
216	217
217	218
218	219
218	269
218	270
219	220
220	221
221	222
222	223
223	224
224	225
225	226
226	227
228	229
229	230
230	231
231	232
232	233
233	234
234	235
235	236
236	237
236	266
236	267
237	238
238	239
243	244
245	246
245	256
245	287
246	247
247	248
248	249
249	250
250	251
251	252
252	253
253	254
254	255
256	257
257	258
258	259
259	260
260	261
261	262
263	264
264	265
265	266
268	269
272	274
277	278
278	279
280	281
282	289
283	284
284	285
